"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","504","Регистрация без обязательного поля: password","tests","Sun May 11 23:23:25 MSK 2025","passed","Sun May 11 23:23:25 MSK 2025","TestCreateUser","test_user_registration","",""
"","514","Изменение имени пользователя с авторизацией","tests","Sun May 11 23:23:27 MSK 2025","passed","Sun May 11 23:23:28 MSK 2025","TestUserUpdate","test_user_update","",""
"","492","Изменение email пользователя с авторизацией","tests","Sun May 11 23:23:30 MSK 2025","passed","Sun May 11 23:23:30 MSK 2025","TestUserUpdate","test_user_update","",""
"","479","Регистрация без обязательного поля: name","tests","Sun May 11 23:23:26 MSK 2025","passed","Sun May 11 23:23:26 MSK 2025","TestCreateUser","test_user_registration","",""
"","586","Логин с неверными данными","tests","Sun May 11 23:23:17 MSK 2025","passed","Sun May 11 23:23:18 MSK 2025","TestUserLogin","test_user_login","",""
"","444","Получение заказов неавторизованным пользователем","tests","Sun May 11 23:23:02 MSK 2025","passed","Sun May 11 23:23:02 MSK 2025","TestGetUserOrders","test_get_user_orders","",""
"","590","Создание заказа с неверным хешом ингредиента","tests","Sun May 11 23:23:12 MSK 2025","passed","Sun May 11 23:23:13 MSK 2025","TestOrderCreation","test_order_create","",""
"","498","Логин с неверными данными","tests","Sun May 11 23:23:18 MSK 2025","passed","Sun May 11 23:23:19 MSK 2025","TestUserLogin","test_user_login","",""
"","520","Изменение данных пользователя без авторизации","tests","Sun May 11 23:23:31 MSK 2025","passed","Sun May 11 23:23:32 MSK 2025","TestUserUpdate","test_user_update","",""
"","507","Создание уникального пользователя","tests","Sun May 11 23:23:19 MSK 2025","passed","Sun May 11 23:23:19 MSK 2025","TestCreateUser","test_user_registration","",""
"","3733","Создание заказа с авторизацией и валидными ингредиентами","tests","Sun May 11 23:23:03 MSK 2025","passed","Sun May 11 23:23:06 MSK 2025","TestOrderCreation","test_order_create","",""
"","580","Логин с неверными данными","tests","Sun May 11 23:23:18 MSK 2025","passed","Sun May 11 23:23:18 MSK 2025","TestUserLogin","test_user_login","",""
"","1121","Логин под существующим пользователем","tests","Sun May 11 23:23:14 MSK 2025","passed","Sun May 11 23:23:15 MSK 2025","TestUserLogin","test_user_login","",""
"","445","Регистрация без обязательного поля: email","tests","Sun May 11 23:23:24 MSK 2025","passed","Sun May 11 23:23:24 MSK 2025","TestCreateUser","test_user_registration","",""
"","952","Создание заказа без авторизации с валидными ингредиентами","tests","Sun May 11 23:23:08 MSK 2025","passed","Sun May 11 23:23:09 MSK 2025","TestOrderCreation","test_order_create","",""
"","433","Логин с неверными данными","tests","Sun May 11 23:23:17 MSK 2025","passed","Sun May 11 23:23:17 MSK 2025","TestUserLogin","test_user_login","",""
"","486","Изменение данных пользователя без авторизации","tests","Sun May 11 23:23:32 MSK 2025","passed","Sun May 11 23:23:32 MSK 2025","TestUserUpdate","test_user_update","",""
"","489","Создание заказа без ингредиентов","tests","Sun May 11 23:23:10 MSK 2025","passed","Sun May 11 23:23:10 MSK 2025","TestOrderCreation","test_order_create","",""
"","4493","Получение заказов авторизованным пользователем","tests","Sun May 11 23:22:56 MSK 2025","passed","Sun May 11 23:23:00 MSK 2025","TestGetUserOrders","test_get_user_orders","",""
"","998","Регистрация с повторным email","tests","Sun May 11 23:23:21 MSK 2025","passed","Sun May 11 23:23:22 MSK 2025","TestCreateUser","test_user_registration","",""
